row_id,주제,내용,상세내용,주장/검증매체
10,경제,새마을금고 위기론에 '노심초사'...진화에도 우려는 여전 / YTN,"목소리도 있죠빨리이 법을 바꿔야 된다 이런시스템 문제가 있으니까그런데 지금 같이 PF 라든가이 금융계류되어 있는 상태입니다법이 나왔었는데 지금 아직은 다지난 몇 년 동안 국회 여러 가지그러니까 이게 문제다라고 그래 가지고돼요행정안전부를 한번 거쳐서 들어가야감시하려면금융감독원이 이걸행정안전부 관할이고 그 한국은행이나새마을금고만그런데관리 감독을 봤거든요감이금융감독원하고 한국은행에 직접적인농협 축협 신협 이거 다행정안전보가 날이에요들어가는데이 유독 새마을금고만것들 다 사무신용으로농협이라든가 신협 축협 수협 이런성격이에요쉬운 말로 하면 협동조합하고 비슷한상호금융기관이라고 보통 그러니까 아주금융기관하고 다르게새마을금고라고 하는 건 일반국회에서도 이게 계속 문제였었는데이게 문제가 되긴 됩니다 그동안에서하는 복잡한 여러 가지 역사가 있는데생기게 되고이 박정희 정권 시절부터이게 여기를 하려면 새마을금고가 왜금융감독원이 아니라 행정안전새마을금고의 감독 권한을 보니까 이게해주셨고요지역별로 편차가 크다는 좀 말씀을이렇게 얘기하고 있습니다기금도 넉넉히 쌓아 놓고 있다 지금자기들이 대처할 만한 준비가 돼 있다근데 새마을금고 중앙에서는 그 부분을얘기를 하는 거죠되면은 이거 어떻게 막을 거냐이파산 여기서 만약에 런이 벌어지게셈 그 고런 동네 새마을금고가근데 50%, 60% 밖에 안 되는이게 뭐 150% 이런 것도 있어요상태가 좋은 지역에 있는 새마을금고는그러니",YTN
11,경제,'새마을금고' 팩트체크 하고 판단하세요 f.권순우 취재팀장 [In-Depth30],불만이죠모두가 썩어 있다라는 현실에 대한풍토라는 건 이유가 딱 하나입니다메시아처럼 받아들이게 되는 그생기면 모든 국민들이 그 사람을 거의청렴한 한 정치인에 대한 확신이하시면 됩니다폐해가 뼈의 사무친다는 것만 이해를겪는 부정부패의국민들이 일상에서고맙습니다 예 감사합니다특별히 오늘 고생이 더 많으셨습니다권순애 팀장님확인해 보라는 얘기예요네 자 우리염려가 걱정되는 분들은 들어가서조금 다 면밀히 들여다보고 부실요번 기회에것 같으나세금 손해 보면서 하실 필요는 없을본 팀장 얘기도 지금 당장 이자나좋겠다 그리고누차 말씀드리지만 잘 마무리 됐으면시간이 다 돼서이 정도 할 텐데 뭐다 가입할 수 있는 거니까 어쨌든자치라는데 이거는 이건 뭐 대중들이가입하는 거니까사실은 그 권역에 있는 분들만어떻게 되고 있는지는 그런 분들은굉장히 크거든요 거기도 좀 PF군인공지에 경찰분들 이런데도 사이즈아니고 이른바 공제회류들이 있어요근데 이게 사실 새마을금고만 그런 건거예요대출로 분류하고 있으면 모른다는연체 그냥 연체 안 시키고 정상대출인데그러니까 예를 들어서 대출인데 부실고렇게 돼 있다고 아 그래요 주체가금융위에 미래를 이렇게 좀이건 다른 거거든요 느낌이행안부에서 의뢰를 해야 되는 거예요근데 지금은 저이 새마을금고 하나만합니다다 해요금융이 소속이거든요 금융위와 감독원이다하는데 그래서 지금 다른 상호금융은자산운용을맞냐 이거예요 이것도 이게 이렇게 큰행안부에서이 관리 ,삼프로TV_경제의신과함께
12,경제,새마을금고 찾아간 전 임원 흉기 난동...직원 2명 숨져 / YTN,지금까지 대구에서 ytn 성준 입니다방침입니다경찰은 a 씨가 회복하는 대로 법 m 동지와 자세한 사건 경위를 조사할밀어 원한 때문에 범행을 저질렀을 것으로 보고 있습니다아 통찰은 재직 당시 a 씨와 직원들의 사이가 좋지 않았던 점점 으로a 씨는 알고보니 이 새마을금고에 전지 이번 이었습니다없었던 것으로 확인됐습니다사건 당시 새마을금고에 는 직원 내 100만 있고 다행히 촌 님 은인 것으로 알려졌습니다권에 신고를 받고 출동한 경찰에 붙잡혀 인근 병원으로 옮겨 지내시는 중퇴a 씨는 범행 직후 농약을 마시는 박 딴 적인 선택을 수도 있는데요 아주옮겨졌지만 끝내 숨졌습니다이 때문에 30대 여직원과 40대 남자 직원이 총상을 입어 병원으로흉기를 마구 휘둘러 씁니다대구시 감독의 있는 한 새마을금고 인데요 60대 남성 a 씨가 직원들에게오전 11시 20분쯤 입니다이번 사건으로 2명이 숨졌습니다 어 이 사건의 언제라는 겁니까 네 오늘추세 기자 연결합니다 허성준 기자 네 배웁니다경찰은 원한 관계에 의한 범행으로 추정하고 사건 경위를 조사하고 있습니다숨졌습니다대구 1 새마을금고 해서 60대 전직 임원이 흉기를 휘둘러 직원 2명이,YTN
13,경제,"[자막뉴스] '내 예금 괜찮나'...새마을금고, 무서운 자금 이탈 '경고등' / YTN",감사합니다늘 저희 YTN 뉴스를 시청해 주셔서해보세요휴대폰에서 YTN 앱을 다운로드또 뉴스에 속보 알림을 받고 싶으시면추천 영상도 누르면 바로 재생됩니다눌러주세요싶으시다면 여기 구독 버튼을YTN 뉴스를 더 많이 보고YTN 차유정입니다목소리는 여전히 높습니다직접적인 관리 감독이 필요하다는근본적으로 전문성이 높은 금융당국의부랴부랴 대책을 내놓긴 했지만새마을금고 위기설까지 나오자 정부가운용자산만 200조원이 훌쩍 넘는안으로 입법예고도의 예정입니다관련 개정안은 존비중으로 이번 달합산 50% 이내로 제한합니다각각 30%대출 한도 규제도이상으로 관리하며 부동산 건설업종앞으로는 유동성 비율을 100%있었습니다새마을금고는 사실상 감독 사각지대에금융당국이 아닌 행안부 감독을 받는강화합니다건전성 규제는 다른 상호금융기관만큼팀을 구성해서 할 예정입니다약 5주간에 걸쳐서7월 10일 이후에그건 저희가이런 것들이 이제 있습니다 그래서단행할 예정입니다임원 직무정지까지필요하면 통폐합과합동 특별검사를 벌입니다넘는 3곳에 대해먼저 이번 달부터 연체율이 10%강화대책도 동시에 내놨습니다사회적인 우려가 워낙 큰만큼 건전성가능한 수준이라는 겁니다 하지만증가했지만 이후 감소 기조명 관리연체율이 6월 중순 6.49%까지행정안전부가 일단 진화에 나섰습니다우려가 커지자 관리감독기관인나오고 있습니다있었던게 아니냐라는 얘기들이 지금방만한 대출 형태의 형태들이 좀나가는데 일부 금고교,YTN
14,경제,대구 새마을금고서 전 임원 흉기 휘둘러…직원 2명 숨져 / KBS,kbs 뉴스 안 사격 입니다a 씨를 상대로 범행 동기 등을 조사할 예정입니다있습니다 경찰은 원한 관계에 의한 범행으로 추정하고 치료가 끝나는 대로nc 는 흉기를 휘두른 직후 도 국물을 마셔 병원으로 옮겨져 치료를 받고있습니다들이 될 것입니다 그래서 그 부분에 가서 총점 적으로 수사할 내외 등이청소의 갈등이 좀 기수는 같으니까 보 특가 토 밀리고 있다는 얘기가 아제생겼을 정도로 갈등을 빚었던 것으로 전해졌습니다a 씨는 해당 새마을금고에 천직 임원으로 재직할 때 직원들과 법적 분쟁이경비 인력은 없었던 것으로 알려졌습니다사건 당시 피해 직원 2명을 포함한 직원 4명이 근무하고 있었고 자체옮겨졌으나 결국 숨졌습니다내생에 하 이 약의 생각하시 카라 충 길 찔린 직원도 맥은 병원으로새 나무와 의해 0 항해 geiger여성 직원에게 가져간 흉기를 휘둘러 씁니다점심시간 직전 창구의 고객이 없을 때 a 씨가 40대 남성 직원과 30대오늘 오전 11시 반쯤이곳에서 60대 남성 a 씨가 중기 난동을 부린다는 신고가 접수된 시각은대회 안 새마을금고 입구 경찰 통제 선이 처진 채 현장감식 이 한창입니다것으로 알려졌습니다 안 상혁 기자입니다이곳에 전직 임원이 하더니 남성은 재직 당시 직원들과 갈등을 빚어온숨졌습니다대구 연 생활 근거에서 60대 남성이 흉기를 휘둘러 직원 2명이,KBS News
15,경제,"재생에너지냐, 원자력발전이냐?! 뉴스에서도 다 설명 못하는 원자력발전의 실태를 정확히 알려드립니다 (MBC 이지선 기자)",으으으오센 해드립니다 여기까지 하겠습니다어디서도 듣기 힘드셨을 거에요 캡자 이런 얘기 아무도 않으십니다안정감 있게 추진해 나갈 수 있다발전을 동시에 준 영감 있게 오랫동안우리가 재생에너지 확대와 또 원자력온다면 우리는 센서 그래 판다 그래야고준희 방패 장 추진에 계획이나현실을 우리가 집시 하고 앞으로 어걸을 산성 할 것도 아니다 이런것도 아니고 무작정 원전을 유력 않은자 그래서 탈 원전을 무작정 반대하는우리가 올바른 판단을 할 수가 있겠죠정치적 어떤 이념의 휘둘리지 않고어떤 사안에 판단 할 때도 이쪽 적도우리가 정확한 사실은 지 알고 있어야가기는 힘든 상황이다현실적으로 우리는 계속 먼저 늘려지향 정도 있을 거구요 어디에라고 말할 수는 없겠죠 그런 정치적폐기물처리시설 빼 문의 이거 선언했다선언한 배경이 이 뭐 해멜론 뭐 지금 정부가 탈 원전을무조건 탈 원전을 비난만 할게 아니라있는 거에요 자 그러니까 우리가가동을 중단해야 되는 일이 생길 수도30 4 올릴 수 있는 원전을 억지로쓰리 빡 차게 되면 은 아직도 이넘치게 되겠죠 사용후 핵연료 저장수는 없는 거잖아요 나중에는 뭐 변이정화 서 없는데 화장실만 계속 늘릴같이 있어줘야 한다나가려면 꾸준히 방패 장이 반드시땅덩어리에 계속 신규 원전을 눌려아닙니다 알지만 이 추가로 의 좁은우리가 뭐 원전 의 기술력 뛰어난 거안 된다이라는 걸 우리가 정치적 접근해서는됐죠 자 그러니까 어떤 탈 원전추진을 ,파보세
16,경제,제7회 탄소중립 테크포럼,심장뭐 합니다 아 수고많으셨습니다 예이상으로 제 7차 사안이며 고름을 만들겠습니다카톡을 통해서 좋은 질문이 심신을 기도 감사의 말씀 드립니다온라인 통해서 3 서캐 주신 분들께 감사드리고 5요 끝까지 예분의 모른다면 모두 감사합니다뭐 좋은 발 째주 시절 은 교수님 그리고 오토론 해주신 좋은 보내주신 세눈치작전 패기를 바라겠습니다정책을 하는 분이나 또는 목 시대를 살아가는 이런 고민하는 분들 한테오늘의 이런 그 해에 쇼에 관련한 주제의 세미나가있다는 생각을 했었는데요의미 2 파소 중이라는 것이 우리 경제의 알게 모르게 큰 양을 미치고아닌가 하는 그런 우려나 걱정이 되기도 했었습니다기업들은 인식을 하면서 국내를 투자를 못하고 해외 투정은 누구 있는 게호흡이 안 되고 그로 인해서 알이 100대 영이 안되는 상황을 이미그이미 시장은 국내에 그 재생에너지증가하고 하는 그 도표를 본 적이 있습니다뭐지 난 그 15년 이후부터 국내에서의 기업들의 투자는 줄고 해외 투자는좀 빨리좀 개선되기를 바라겠구요있고 관련한 제도들 개선 들은 사항들을어떻든 그 가야될 키리 라면우리가 도래 쌍 여러가지가 제시되어 있는 것 같습니다뭔 으로 발 재자를 통해서 도브 자를 통해서 개선 사람들우리나라와 3개의 어떤 동양인 질을 좀 알아보고자 오늘 오래 걸렸군요건물에서 낸 까지 재생이 바꿔야 되는 과제가 있기 때문에 이와 관련한파도 등 닙 하려면 재생 4 중심의 전력 전력 뿐,한국에너지기술평가원 - KETEP
17,경제,"탄소중립 시대, 제주 가스발전이 나아갈 길",고맙습니다마치도록 하고요 함께 시신 여러분좋겠습니다 오늘 토론 이것으로시나리의 지혜를 함께 모아가면그런 생각이 좀 드는데요 그런역시나리오가 지금 필요한 거 아닌가진짜 생애자 가능할 것인지에 대한관리를 하고 여기까지 어떻게이까지 맞추기 위해서 어떻게 수요우리가 지금 오프라는 에너지니까지인데공감하시잖아요 그 거꾸로 역으로아닌가라는 분들의 부분에선 다들기울기 시대에 그 말은 맞지 않는 것신뢰는 안정성이라고 보기에는 지금의무조건 만들어야 돼라고 하면 그것을높은 목표치를 세워놓고 그 목표까지공감하실 것 같습니다필요가 있다라는 것에도 아마 대부분대해서 우리가 좀 새롭게 재검토해 볼대해서도 지금 나와 있는 예측치들에그리고 수요 관리에 대해서도 수요에좀 더 전면적인 접근들이 필요하고것들이 대체적인 의견인 것 같습니다문제들이 풀리지 않을 것 같다는기존에 우리가 생각대로 풀어 쓰는이많이 하실 것 같은데요 아마 이게 좀70까지 잘 살 수 있을까라는 걱정도김준호 국장님 18개월짜리 아이가제일 많이 기회 남는 말씀 우리많을 것 같아요 많을 것 같고 아마네 고맙습니다 하신 말씀들이 엄청말씀을 드리겠습니다관점에서도 좀 볼 필요가 있다는안정성의 측면은 아닌가 그래서 그런거거든요 그게 에너지 안 보고 공급의존하지 않고 자급자족을 하고 있다는20%를 지금 수입의20%를 연간에 전력 소비량의됐지 않습니까연관으로 가면 지금 제주 20%가야간에 설령 0%가 될지언정한때그,기후솔루션
18,경제,핵발전으로 탄소중립?···비용 대비 효과↓,장애 및 입니다cpc보다 신중해야 할 때입니다어떤 선택을 해야 하는지 그 어느 때심각해진 기우 위기 속에서 우리는생각 됩니다동의할 수 없는 그런 모범 이라고일이니까 이것은 그 우리가 결코끔 물을 잔뜩 싸서 창조 혹시 키는기업이고 그 미래 제 되게 최악의 도인간 생명에 대한 치명적인 그높습니다윤리적 문제를 지적하는 목소리도고스란히 미래 3 내가 떠 않는다는아울러 핵발전을 로 인한 부담은연장전에 있습니다필요성을 언급한 것도 이 같은 문제의고준위 방사성폐기물 처리장 에대통령직 인수위원회가 지난 11일폐기물의 처리 장이 없기 때문입니다국내 핵발전 으로 발생하는 핵문제입니다가장 큰 고민거리는 핵폐기물것이라고 설명했습니다포함돼 원전의 감축 효과가 작게 나온원전 패기 사고 발생에 대한 비용이5 체온 녹색기술 센터 책임연구원은때문입니다발전에 따른 후 속병이 높기발전의 효율이 낮게 나온 이유는 획전망했습니다 3 파인딩 2500안팎의 비용이 필요할 것으로효과를 내기 위해서는 200 달러특히 핵에너지 가 이만큼의 감축예측했습니다감축 기대어 칼 1기가 톤 안팎으로반면 ipcc 는 핵 연화제 탄소나타났습니다효과를 기대할 수 있는 거죠저비용으로 도 2의 아톤 안팎의 감축또 주 에너지원은 20 달러 미만의수 있다고 전망했습니다톤암 박해의 탄소 감축 효과를 기대할ipcc 는 2에 너 전 모두 사기가분의 는 태양광과 풍력 이었읍니다분야에서 가장 효율적인 탄소 감축,CPBC 뉴스
19,경제,에너지지식탐구(8화) : 탄소중립의 세 번째 영역 - 발전,밑거름이 될 것입니다소재로 사회를 만들어가는 가장 중요한탄소배출을 줄이는 것이야말로 탄이러한 노력들을 통해 발전 부문의추진하고 있습니다공급하기 위해 여러 정책 방안을이상을 태양광 풍력 등 재생에너지 로특히 신규 설비 용량 의 95%높이겠다는 의지를 참여했는데요재생에너지 비중을 20% 로이행 계획을 발표하고 2030년까지이에 우리 정부도 재생에너지 3020될 것입니다분야에서도 큰 성과를 거둘 수 있게연 9000명 감소하는 등 보건 의료대기오염이 줄어들면서 조기 사망자가이에 따르면 일자리 증가는 물론연구팀의 연구결과가 있었습니다스탠포드 uc 버클리 대학 공동일자리가 143 안게 생겨날 것이라는재생 에너지로 전환할 경우 관련우리나라가 2050년까지 100%기회가 되기도 합니다한편 이런 에너지 전환 은 새로운방법이 에너지전환 이기 때문입니다기후 위기에 대응할 수 있는 유일한이것은 경제성장을 해치지 않으면서도있죠실제 유의미한 성과 들이 속속 나오고각국에서 정책적으로 이를 밀어주고단순히 기술만 발전한 것이 아니고접어들었습니다이미 가야 할 필수 영역으로지금까지 살펴봤듯이 재생 에너지는전망하고 있습니다원자력 보다 저렴해 질 것으로풍력은 10% 가량 하락해 석탄과비용은 24에서 31%2030년에 태양광 긴 둥 아 배전연구결과에 따르면 2020년 대비에너지경제연구원 의 2020년예측됩니다균 2화 발전 비용이 낮아질 것으로성장과 기술 발전에 의해 지속적,E 스튜디오
